Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:58.697,00:05:52.00,1,--,15,0:05:58  ,0:05:52  ,0:05:38  ,176.71875,184.0,92.0,142.0,153.0,--,79
2,00:05:52.175,00:05:47.00,1,16,11,0:05:52  ,0:05:47  ,0:05:21  ,177.921875,187.0,95.80000000000001,140.0,147.0,--,98
3,00:05:47.386,00:05:42.00,1,4,5,0:05:47  ,0:05:42  ,0:05:32  ,177.84375,189.0,96.85000000000001,146.0,151.0,--,101
4,00:05:49.764,00:05:42.00,1,--,--,0:05:49  ,0:05:42  ,0:05:38  ,178.0625,182.0,96.52999877929688,146.0,151.0,--,101
5,00:05:47.957,00:05:41.00,1,--,--,0:05:47  ,0:05:41  ,0:05:31  ,178.640625,185.0,95.64000244140625,139.0,149.0,--,84
6,00:05:42.865,00:05:35.00,1,3,--,0:05:42  ,0:05:35  ,0:05:31  ,179.03125,189.0,95.14000244140625,148.0,153.0,--,99
7,00:05:43.405,00:05:37.00,1,13,7,0:05:43  ,0:05:37  ,0:05:24  ,179.0625,182.0,97.34000244140626,151.0,156.0,--,102
8,00:05:40.489,00:05:39.00,1,10,11,0:05:40  ,0:05:39  ,0:05:16  ,178.5,191.0,97.75999755859375,155.0,163.0,--,100
9,00:00:02.465,--,0.01,--,--,0:04:42  ,--,0:05:32  ,176.328125,179.0,106.46999511718751,158.0,158.0,--,0
Summary,00:46:25.203,00:46:27.00,8.01,45,49,0:05:47  ,0:05:47  ,0:05:16  ,178.21875,191.0,95.87999877929688,146.0,163.0,--,764
